city_id,city_name,latitude,longitude,days_count,avg_temp_7d,avg_humidity_7d,total_rain_mm_7d,avg_pop_7d,status,temp_distance_to_22,s_rain,s_pop,s_humidity,s_temp,weather_score,weather_rank
29,Carcassonne,43.2130358,2.3491069,7,22.611428571428572,47.857142857142854,0.24,0.060000000000000005,OK,0.6114285714285721,0.9892521271831617,0.9196940726577438,0.4862745098039216,0.921109158367506,90.10512068836985,1
6,Paris,48.8588897,2.320041,7,18.692857142857143,29.142857142857142,0.0,0.0,OK,3.307142857142857,1.0,1.0,1.0,0.5526264401484083,88.8156610037102,2
13,Besancon,47.2380222,6.0243622,7,18.24142857142857,42.714285714285715,0.0,0.0,OK,3.758571428571429,1.0,1.0,0.6274509803921569,0.49091974223784396,83.54750335986766,3
25,Nimes,43.8374249,4.3600687,7,22.434285714285718,42.0,1.81,0.25142857142857145,OK,0.4342857142857177,0.9189431258396775,0.6634799235181643,0.6470588235294118,0.9453231790665878,82.17107482189246,4
16,Grenoble,45.1875602,5.7357819,7,22.527142857142856,40.285714285714285,3.06,0.26285714285714284,OK,0.5271428571428558,0.8629646215853113,0.6481835564053537,0.6941176470588235,0.932630345635618,79.90620355912519,5
9,Strasbourg,48.584614,7.7507127,7,17.11714285714286,42.857142857142854,0.0,0.0,OK,4.882857142857141,1.0,1.0,0.623529411764706,0.3372388205428629,79.66626463121862,6
11,Colmar,48.0777517,7.3579641,7,17.080000000000002,43.285714285714285,0.0,0.0,OK,4.919999999999998,1.0,1.0,0.611764705882353,0.3321616871704747,79.42168923808538,7
31,Toulouse,43.6044638,1.4442433,7,21.965714285714288,52.714285714285715,2.38,0.26857142857142857,OK,0.03428571428571203,0.8934169278996865,0.6405353728489483,0.3529411764705882,1.0,79.01506542666336,8
1,Mont Saint Michel,48.6359541,-1.51146,7,17.264285714285716,48.0,0.0,0.0,OK,4.735714285714284,1.0,1.0,0.48235294117647065,0.35735207967193916,78.75733140356317,9
12,Eguisheim,48.0447968,7.3079618,7,16.744285714285716,43.42857142857143,0.0,0.0,OK,5.255714285714284,1.0,1.0,0.6078431372549019,0.2862722124585043,78.23523668401162,10
17,Lyon,45.7578137,4.8320114,7,19.238571428571426,49.857142857142854,1.62,0.11857142857142856,OK,2.7614285714285742,0.9274518584863413,0.8413001912045889,0.431372549019608,0.6272212458504193,77.69407741961616,11
8,Lille,50.6365654,3.0635282,7,16.10857142857143,39.42857142857143,0.0,0.0,OK,5.89142857142857,1.0,1.0,0.7176470588235293,0.19937512204647545,77.16084863939717,12
5,Rouen,49.4404591,1.0939658,7,16.41142857142857,49.0,0.0,0.0,OK,5.588571428571431,1.0,1.0,0.4549019607843138,0.2407732864674864,75.5683517695303,13
