city_name,country,hotel_name,latitude,longitude,score,description,booking_url
Mont Saint Michel,France,Au Mont Chez Nous # Jacuzzi & Sauna #,48.6134553,-1.4858723,9.7,"Proposant un salon commun, l’hébergement Au Mont Chez Nous # Jacuzzi & Sauna # se trouve à Pontorson, à respectivement 8,7 km, 8,7 km et 21 km de ces lieux d’intérêt : Abbaye du Mont Saint Michel, Mont Saint-Michel et Scriptorial d'Avranches. Cette maison de vacances propose un parking privé gratuit, une cuisine commune et une connexion Wi-Fi gratuite.

Disposant d’une terrasse et offrant une vue sur le jardin, cette maison de vacances comprend 3 chambres, un salon, une télévision à écran plat, une cuisine équipée avec un réfrigérateur et un lave-vaisselle, ainsi que 2 salles de bains avec une douche. Des serviettes et du linge de lit sont mis à votre disposition.

Vous pourrez vous détendre dans l’espace bien-être contenant un sauna, un bain à remous et un hammam ou dans le jardin comprenant un barbecue. Un service de location de vélos est disponible sur place.

Vous séjournerez à respectivement 45 km et 47 km de ces lieux d’intérêt : Gare de Granville et Zoo de Champrépus. L'aéroport le plus proche (Aéroport de Rennes-Saint-Jacques) est à 85 km.",https://www.booking.com/hotel/fr/26-route-de-la-rive-ardevon.fr.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9tb250IHNhaW50IG1pY2hlbCwgZnJhbmNlSA1YBGiRAYgBAZgBM7gBGcgBDNgBA-gBAfgBAYgCAagCAbgCzJ-mzwbAAgHSAiRjMzRmMTk1NS1lYzA5LTRkMDEtOTRlZC0wMTAzZjUyZDBmMmTYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ff411766beb20376&srepoch=1776914384&all_sr_blocks=490623801_394184545_8_0_0&highlighted_blocks=490623801_394184545_8_0_0&matching_block_id=490623801_394184545_8_0_0&sr_pri_blocks=490623801_394184545_8_0_0__230265&from=searchresults
Aix en Provence,France,"La Bastide de Damien, 5 clefs Demeure d'Exception et Table Remarquable dans le guide Teritoria, JACUZZI Privatif, Cuisine étoilée Dominique Frérard",43.5919051,5.3909078,9.5,"L’établissement La Bastide de Damien, 5 clefs Demeure d'Exception et Table Remarquable dans le guide Teritoria, JACUZZI Privatif, Cuisine étoilée Dominique Frérard vous accueille à Aix-en-Provence, à 40 km de ce lieu d’intérêt : Gare de Marseille-Saint-Charles. Il comprend un service de prêt de vélos, une piscine extérieure ouverte en saison, un jardin et un parking privé gratuit. Il propose un service d'étage, un restaurant et une terrasse. Cet établissement non-fumeurs se trouve à 40 km de : Métro Joliette.

Tous les hébergements sont pourvus d’une machine à café. Vous bénéficierez de la climatisation, d’une télévision à écran plat, ainsi que d’une salle de bains privative avec une douche et un sèche-cheveux. Certains hébergements possèdent également un balcon. Des serviettes et du linge de lit sont fournis.

Un petit-déjeuner continental est servi sur place.

Cet établissement 5 étoiles dispose d’un bain à remous et d’un spa.

Vous séjournerez à respectivement 41 km et 41 km de ces lieux d’intérêt : Centre commercial Les Terrasses du Port et Métro Vieux-Port. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 36 km.",https://www.booking.com/hotel/fr/chambres-romantiques-aix-en-provence.fr.html?aid=304142&label=gen173nr-10CAQoggJCHnNlYXJjaF9haXggZW4gcHJvdmVuY2UsIGZyYW5jZUgNWARokQGIAQGYATO4ARnIAQzYAQPoAQH4AQGIAgGoAgG4ApSdps8GwAIB0gIkMzc0M2JlZWUtMzlmOS00OGI0LTg0OGEtZGRmZTU2ZDcwMmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c51316ca5f1a0094&srepoch=1776914072&all_sr_blocks=733107403_338598194_2_2_0&highlighted_blocks=733107403_338598194_2_2_0&matching_block_id=733107403_338598194_2_2_0&sr_pri_blocks=733107403_338598194_2_2_0__360987&from=searchresults
Bormes les Mimosas,France,Le petit atelier,43.142501,6.3491788,9.4,"Situé à Bormes-les-Mimosas (Provence-Alpes-Côte d'Azur), l’établissement Le petit atelier comprend une connexion Wi-Fi gratuite, un parking privé gratuit et un bain à remous. Les hébergements disposent de la climatisation et d’un bain à remous.

L’établissement propose des hébergements avec vue sur le jardin, une terrasse, un coin salon et une télévision à écran plat. Vous bénéficierez d’une cuisine entièrement équipée avec un réfrigérateur et un four, ainsi que d’une salle de bains privative avec une douche et un sèche-cheveux. Un micro-ondes, une plaque de cuisson et un grille-pain sont également à votre disposition, de même qu’une machine à café et une bouilloire.

Un petit-déjeuner continental est servi sur place.

Lors de votre séjour, vous pourrez vous détendre dans le jardin.

Vous séjournerez à respectivement 2,6 km et 32 km de ces lieux d’intérêt : Grande Plage et Chateau de Grimaud. L'aéroport le plus proche (Aéroport de Toulon - Hyères) est à 20 km.",https://www.booking.com/hotel/fr/le-petit-atelier-bormes-les-mimosas1234567891011121314151617.fr.html?aid=304142&label=gen173nr-10CAQoggJCIXNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXMsIGZyYW5jZUgNWARokQGIAQGYATO4ARnIAQzYAQPoAQH4AQGIAgGoAgG4AqWfps8GwAIB0gIkYTQ1ODdhNjAtODMxNy00YjA1LTk1NDgtNWNkODUyZGFkMjg22AIB4AIB&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f9b11752e83d0299&srepoch=1776914345&all_sr_blocks=683131801_411507633_2_2_0&highlighted_blocks=683131801_411507633_2_2_0&matching_block_id=683131801_411507633_2_2_0&sr_pri_blocks=683131801_411507633_2_2_0__74035&from=searchresults
Mont Saint Michel,France,Au Mont De La Rive #Jaccuzi et Mont-Saint-Michel #,48.6146650925266,-1.48713676700155,9.4,"Situé à Pontorson, l’hébergement Au Mont De La Rive #Jaccuzi et Mont-Saint-Michel # offre une vue sur le jardin. Il propose une terrasse et une connexion Wi-Fi gratuite. Cet hébergement est installé à 8,5 km de : Abbaye du Mont Saint Michel. Il possède un jardin et un parking privé gratuit.

Cette maison de vacances se compose de 3 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 2 salles de bains avec une douche et un bain à remous. Cet hébergement met à votre disposition des serviettes et du linge de lit.

L’établissement Au Mont De La Rive #Jaccuzi et Mont-Saint-Michel # dispose d’un bain à remous.

Vous séjournerez à respectivement 8,5 km et 21 km de ces lieux d’intérêt : Mont Saint-Michel et Scriptorial d'Avranches. L'aéroport le plus proche (Aéroport de Rennes-Saint-Jacques) est à 85 km.",https://www.booking.com/hotel/fr/au-mont-de-la-rive-jaccuzi-et-mont-saint-michel.fr.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9tb250IHNhaW50IG1pY2hlbCwgZnJhbmNlSA1YBGiRAYgBAZgBM7gBGcgBDNgBA-gBAfgBAYgCAagCAbgCzJ-mzwbAAgHSAiRjMzRmMTk1NS1lYzA5LTRkMDEtOTRlZC0wMTAzZjUyZDBmMmTYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ff411766beb20376&srepoch=1776914384&all_sr_blocks=1371380901_409342331_6_0_0&highlighted_blocks=1371380901_409342331_6_0_0&matching_block_id=1371380901_409342331_6_0_0&sr_pri_blocks=1371380901_409342331_6_0_0__201705&from=searchresults
Paris,France,Bradford Elysées - Astotel,48.87291320304089,2.3081912844827457,9.1,"Occupant un bâtiment haussmannien, le Bradford Elysées - Astotel est un établissement 4 étoiles, installé au cœur de Paris, à proximité des célèbres Champs-Élysées. L’établissement propose des chambres élégantes et une salle de petit-déjeuner avec un toit en verre.

Affichant une décoration classique et élégante, les chambres spacieuses du Bradford Elysées comportent une télévision par câble. Certains logements s’ouvrent sur un balcon. Les chambres comprennent également un minibar approvisionné en boissons sans alcool gratuites. Les salles de bains privatives sont pourvues de carrelage et d’un lavabo en marbre.

Un petit-déjeuner buffet est servi chaque matin dans la salle à manger lumineuse de l’hôtel. Vous pourrez également déguster votre petit-déjeuner dans l’intimité de votre chambre. De l’après-midi jusqu’à tard en soirée, des boissons sans alcool et des collations vous seront servies gratuitement dans le hall de l’hôtel. Vous pourrez bénéficier de ce service dans tous les autres établissements Astotel de Paris et déguster une boisson ou une collation gratuitement.

Le Bradford Elysées est implanté à 5 minutes à pied de la station de métro Franklin D. Roosevelt, qui dessert directement le jardin des Tuileries, le musée du Louvre et la place de la Bastille. Vous bénéficierez gratuitement d’une connexion Wi-Fi dans l’ensemble de l’établissement et toutes les chambres sont desservies par un ascenseur. Après une journée de visites, vous pourrez vous détendre dans le salon de l’hôtel.",https://www.booking.com/hotel/fr/bradfordelysees.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSA1YBGiRAYgBAZgBM7gBGcgBDNgBA-gBAfgBAYgCAagCAbgCkp6mzwbAAgHSAiRmMWI3M2ZiYi0zMzM4LTQzYzYtYmFmMi01N2MyNTRkMjI3ODfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8c6817091cd70224&srepoch=1776914199&all_sr_blocks=5090811_91457998_2_2_0&highlighted_blocks=5090811_91457998_2_2_0&matching_block_id=5090811_91457998_2_2_0&sr_pri_blocks=5090811_91457998_2_2_0__233700&from=searchresults
Paris,France,Hotel Joke - Astotel,48.8824459,2.3318647999999484,9.1,"L’établissement Hotel Joke - Astotel bénéficie d’un emplacement attractif dans le quartier 9e arr. De Paris, à respectivement 1,1 km, 1,4 km et 700 mètres de ces lieux d’intérêt : Gare Saint-Lazare, Opéra Garnier et Salle de spectacles La Cigale. Cet hôtel 3 étoiles propose une réception ouverte 24h/24, un service de concierge et une connexion Wi-Fi gratuite. Cet établissement non-fumeurs se situe à 500 mètres de : Métro Pigalle.

Les hébergements comprennent la climatisation, un bureau, une bouilloire, un minibar, un coffre-fort, une télévision à écran plat et une salle de bains privative dotée d’une baignoire ou une douche. Des serviettes et du linge de lit sont fournis.

Un petit-déjeuner buffet, continental ou végétarien est servi sur place.

Vous séjournerez à respectivement 2,6 km et 2,7 km de ces lieux d’intérêt : Gare du Nord et Musée de l'Orangerie. L'aéroport le plus proche (Aéroport de Paris - Orly) est à 19 km.",https://www.booking.com/hotel/fr/joke-astotel.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSA1YBGiRAYgBAZgBM7gBGcgBDNgBA-gBAfgBAYgCAagCAbgCkp6mzwbAAgHSAiRmMWI3M2ZiYi0zMzM4LTQzYzYtYmFmMi01N2MyNTRkMjI3ODfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8c6817091cd70224&srepoch=1776914199&all_sr_blocks=134376803_89504560_2_2_0&highlighted_blocks=134376803_89504560_2_2_0&matching_block_id=134376803_89504560_2_2_0&sr_pri_blocks=134376803_89504560_2_2_0__151900&from=searchresults
Carcassonne,France,Hotel de la Cité Carcassonne - MGallery Collection,43.205627,2.362696000000028,9.0,"L’Hotel de la Cité & Spa MGallery vous accueille dans un château de style médiéval situé à l’intérieur des remparts de Carcassonne. L’hôtel possède un jardin et une piscine extérieure avec vue sur l’église Saint-Nazaire. Vous bénéficierez gratuitement d’une connexion Internet par câble et Wi-Fi. 

Arborant une décoration classique ou de style provençal, toutes les chambres sont munies d’une station d’accueil pour iPod. Certaines comportent un balcon avec vue sur la ville.

La brasserie-restaurant d’été sert des spécialités régionales et un petit-déjeuner composé de viennoiseries faites maison. Vous pourrez également dîner au restaurant Barbacane, étoilé au guide Michelin, ou déguster un cocktail au bar.

Par ailleurs, vous aurez la possibilité de participer à une dégustation de vin dans la cave sur place ou de réserver une croisière sur le fleuve auprès de la réception ouverte 24h/24. L’hôtel assure un service de navette, ainsi que de voiturier si vous utilisez le parking privé.

Vous séjournerez à 2,4 km de la gare de Carcassonne. Vous séjournerez à 61 km de la ville de Narbonne. Enfin, vous bénéficierez d’un stationnement sur place moyennant des frais supplémentaires.

- pas de station d'accueil pour iPod dans les chambres ;
- pas de brasserie ni de restaurant d'été, mais un bar dans le jardin en été où vous pourrez déguster des tapas tout en admirant la vue sur les remparts ;
- pas de dégustation de vin dans la cave sur place.",https://www.booking.com/hotel/fr/hotel-de-la-cite.fr.html?aid=304142&label=gen173nr-10CAQoggJCGnNlYXJjaF9jYXJjYXNzb25uZSwgZnJhbmNlSA1YBGiRAYgBAZgBM7gBGcgBDNgBA-gBAfgBAYgCAagCAbgCk5umzwbAAgHSAiQ2M2E5OWM0Yi04Zjg4LTQ2NDgtOTM1OS01MWIxZmY1ODdjNzbYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8c7f164954d401a6&srepoch=1776913815&all_sr_blocks=22877529_423407825_2_34_0&highlighted_blocks=22877529_423407825_2_34_0&matching_block_id=22877529_423407825_2_34_0&sr_pri_blocks=22877529_423407825_2_34_0__347680&from=searchresults
Lyon,France,Hôtel Fort St Laurent Lyon - Handwritten Collection,45.774432,4.836447,8.9,"L’établissement Hôtel Fort St Laurent Lyon - Handwritten Collection vous accueille à Lyon, à 1 km de ce lieu d’intérêt : Musée des Beaux-Arts de Lyon. Il comprend un service de concierge, un jardin, une terrasse, des hébergements non-fumeurs, ainsi qu'une connexion Wi-Fi gratuite dans l’ensemble de ses locaux. Cet hôtel 4 étoiles propose un service d'étage et une réception ouverte 24h/24. Vous pourrez profiter d'un bar.

Un petit-déjeuner buffet, continental ou végétarien est servi sur place.

Vous séjournerez à respectivement 1,9 km et 3,5 km de ces lieux d’intérêt : Musée Miniature et Cinéma et Basilique Notre-Dame de Fourvière. L'aéroport le plus proche (Aéroport de Lyon - Saint-Exupéry) est à 35 km.",https://www.booking.com/hotel/fr/et-spa-fort-st-laurent-lyon-handwritten-collection.fr.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9seW9uLCBmcmFuY2VIDVgEaJEBiAEBmAEzuAEZyAEM2AED6AEB-AEBiAIBqAIBuAKUnKbPBsACAdICJDFlNGFjZDljLWQyMTQtNDI4ZC05MTc2LWYwZmQwY2Y5OTFiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=25ef168a3a000229&srepoch=1776913944&all_sr_blocks=1157790302_403787481_2_2_0&highlighted_blocks=1157790302_403787481_2_2_0&matching_block_id=1157790302_403787481_2_2_0&sr_pri_blocks=1157790302_403787481_2_2_0__142485&from=searchresults
Annecy,France,Impérial Palace,45.90374698623782,6.144694089889526,8.9,"Au cœur des Alpes françaises, l’Impérial Palace est un hôtel 4 étoiles qui se situe au bord du lac d’Annecy, à 1,6 kilomètre du centre d’Annecy. Des hébergements climatisés, un spa et un casino sont proposés. Une connexion Wi-Fi est disponible gratuitement.

Les chambres de L’Imperial Palace comportent un minibar ainsi qu’une télévision par satellite à écran plat. La plupart d’entre elles disposent également d’un balcon offrant une vue imprenable sur le lac et les montagnes environnantes ou sur le parc. Un plateau de courtoisie avec du thé est à votre disposition dans chaque chambre.

Les repas sont servis sur une terrasse ombragée surplombant le lac. L’Impérial Palace possède aussi un restaurant informel, La Brasserie, un bar et un salon où vous pourrez savourer des pâtisseries faites maison, des collations et un petit-déjeuner buffet complet.

Un spa de 600 m² est à votre disposition sur place. Vous y trouverez une piscine, une douche sensorielle, un sauna, un hammam, une fontaine de glace, une baignoire d’hydromassage et des salles de soins privées. 

Un parking est disponible gratuitement sur place. Cet établissement est équipé de bornes de recharge pour les voitures électriques. L’hôtel se situe à 40 km de l’aéroport international de Genève et à 1,5 km de la gare d’Annecy. Le château d’Annecy se trouve à 2 km.",https://www.booking.com/hotel/fr/imperial-palace.fr.html?aid=304142&label=gen173nr-10CAQoggJCFXNlYXJjaF9hbm5lY3ksIGZyYW5jZUgNWARokQGIAQGYATO4ARnIAQzYAQPoAQH4AQGIAgGoAgG4Areeps8GwAIB0gIkZmYwYTVkZmUtZmQ1OC00NDkyLTlkNmMtNDI3ODBmZWIyMTZl2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4422171bd21e0380&srepoch=1776914235&all_sr_blocks=5434045_270549348_2_2_0&highlighted_blocks=5434045_270549348_2_2_0&matching_block_id=5434045_270549348_2_2_0&sr_pri_blocks=5434045_270549348_2_2_0__341200&from=searchresults
Mont Saint Michel,France,Gites Bellevue,48.60788006624136,-1.5172237157821655,8.9,"Situé à seulement 2 km du célèbre Mont-Saint-Michel, l'établissement Gites Bellevue vous propose des gîtes indépendants avec terrasse, jardin et barbecue. La mer se trouve à seulement 10 minutes en voiture.

Les gîtes présentent une vue sur le Mont Saint-Michel, un coin salon avec une télévision ainsi qu'un lave-linge. Leur cuisine est équipée d'un four, d'un four micro-ondes et d'une cuisinière.

Les épiceries et restaurants sont placés à 7 km du centre-ville de Pontorson et vous pourrez utiliser gratuitement une connexion Wi-Fi et un parking privé. Vous pourrez rejoindre Saint-Malo en 45 minutes en voiture et Avranches se trouve à 25 km de l'établissement.",https://www.booking.com/hotel/fr/gites-bellevue.fr.html?aid=304142&label=gen173nr-10CAQoggJCIHNlYXJjaF9tb250IHNhaW50IG1pY2hlbCwgZnJhbmNlSA1YBGiRAYgBAZgBM7gBGcgBDNgBA-gBAfgBAYgCAagCAbgCzJ-mzwbAAgHSAiRjMzRmMTk1NS1lYzA5LTRkMDEtOTRlZC0wMTAzZjUyZDBmMmTYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-04-23&checkout=2026-04-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ff411766beb20376&srepoch=1776914384&all_sr_blocks=82550401_401375591_0_0_0&highlighted_blocks=82550401_401375591_0_0_0&matching_block_id=82550401_401375591_0_0_0&sr_pri_blocks=82550401_401375591_0_0_0__63000&from=searchresults
