city_id,city_name,latitude,longitude,days_count,avg_temp_7d,avg_humidity_7d,total_rain_mm_7d,avg_pop_7d,status
1,Mont Saint Michel,48.6359541,-1.51146,7,17.264285714285716,48.0,0.0,0.0,OK
2,St Malo,48.649518,-2.0260409,7,15.074285714285717,59.285714285714285,0.0,0.0,OK
3,Bayeux,49.2764624,-0.7024738,7,14.65,58.0,0.0,0.0,OK
4,Le Havre,49.4938975,0.1079732,7,15.139999999999999,53.42857142857143,0.0,0.0,OK
5,Rouen,49.4404591,1.0939658,7,16.41142857142857,49.0,0.0,0.0,OK
6,Paris,48.8588897,2.320041,7,18.692857142857143,29.142857142857142,0.0,0.0,OK
7,Amiens,49.8941708,2.2956951,7,15.752857142857144,47.714285714285715,0.0,0.0,OK
8,Lille,50.6365654,3.0635282,7,16.10857142857143,39.42857142857143,0.0,0.0,OK
9,Strasbourg,48.584614,7.7507127,7,17.11714285714286,42.857142857142854,0.0,0.0,OK
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,7,14.688571428571427,42.285714285714285,0.0,0.0,OK
11,Colmar,48.0777517,7.3579641,7,17.080000000000002,43.285714285714285,0.0,0.0,OK
12,Eguisheim,48.0447968,7.3079618,7,16.744285714285716,43.42857142857143,0.0,0.0,OK
13,Besancon,47.2380222,6.0243622,7,18.24142857142857,42.714285714285715,0.0,0.0,OK
14,Dijon,47.3215806,5.0414701,7,16.525714285714283,54.714285714285715,0.0,0.0,OK
15,Annecy,45.8992348,6.1288847,7,18.835714285714285,46.714285714285715,2.91,0.14285714285714285,OK
16,Grenoble,45.1875602,5.7357819,7,22.527142857142856,40.285714285714285,3.06,0.26285714285714284,OK
17,Lyon,45.7578137,4.8320114,7,19.238571428571426,49.857142857142854,1.62,0.11857142857142856,OK
18,Gorges du Verdon,43.7496562,6.3285616,7,17.10571428571429,45.714285714285715,12.129999999999999,0.3242857142857143,OK
19,Bormes les Mimosas,43.1506968,6.3419285,7,18.87142857142857,57.57142857142857,2.08,0.2857142857142857,OK
20,Cassis,43.2140359,5.5396318,7,17.745714285714286,64.14285714285714,1.7000000000000002,0.23142857142857146,OK
21,Marseille,43.2961743,5.3699525,7,18.580000000000002,63.42857142857143,1.81,0.26142857142857145,OK
22,Aix en Provence,43.5298424,5.4474738,7,21.582857142857144,41.0,7.02,0.2857142857142857,OK
23,Avignon,43.9492493,4.8059012,7,22.038571428571426,45.285714285714285,9.79,0.2857142857142857,OK
24,Uzes,44.0121279,4.4196718,7,21.354285714285716,47.57142857142857,4.92,0.2857142857142857,OK
25,Nimes,43.8374249,4.3600687,7,22.434285714285718,42.0,1.81,0.25142857142857145,OK
26,Aigues Mortes,43.5661521,4.19154,7,18.904285714285717,58.42857142857143,1.89,0.29,OK
27,Saintes Maries de la mer,43.4515922,4.4277202,7,18.165714285714284,62.142857142857146,1.85,0.2642857142857143,OK
28,Collioure,42.52505,3.0831554,7,21.201428571428572,52.0,2.23,0.30428571428571427,OK
29,Carcassonne,43.2130358,2.3491069,7,22.611428571428572,47.857142857142854,0.24,0.060000000000000005,OK
30,Ariege,42.9455368,1.4065544,7,19.43428571428571,52.857142857142854,22.33,0.7471428571428571,OK
31,Toulouse,43.6044638,1.4442433,7,21.965714285714288,52.714285714285715,2.38,0.26857142857142857,OK
32,Montauban,44.0175835,1.3549991,7,21.38,57.57142857142857,4.71,0.19,OK
33,Biarritz,43.4711438,-1.5527266,7,19.224285714285717,65.57142857142857,4.99,0.35857142857142854,OK
34,Bayonne,43.4945144,-1.4736657,7,19.968571428571426,62.142857142857146,6.13,0.33285714285714285,OK
35,La Rochelle,46.159732,-1.1515951,7,18.409999999999997,63.42857142857143,0.14,0.12571428571428572,OK
